tei_section_id	tei_node_id	tei_node_type	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index
5000000596	6000000606	sp	1	1	As	IN		{ z	1	H-L%	4
5000000596	6000000606	sp	1	1	by	IN		b AI	1	H-L%	4
5000000596	6000000606	sp	1	1	your	PRP$		j O r	1	H-L%	4
5000000596	6000000606	sp	1	1	high	JJ	L+H*	h AI	1	H-L%	4
5000000596	6000000606	sp	1	1	imperial	JJ	L+H*	I m	0	H-L%	4
5000000596	6000000606	sp	1	1	imperial	JJ	L+H*	p I	1	H-L%	4
5000000596	6000000606	sp	1	1	imperial	JJ	L+H*	r i	0	H-L%	4
5000000596	6000000606	sp	1	1	imperial	JJ	L+H*	@ l	0	H-L%	4
5000000596	6000000606	sp	1	1	majesty	NN	L+H*	m {	1	H-L%	4
5000000596	6000000606	sp	1	1	majesty	NN	L+H*	dZ @ s	0	H-L%	4
5000000596	6000000606	sp	1	1	majesty	NN	L+H*	t i	0	H-L%	4
5000000596	6000000606	sp	1	1	I	PRP		AI	1	H-L%	4
5000000596	6000000606	sp	1	1	had	VBD	L+H*	h { d	1	H-L%	4
5000000596	6000000606	sp	1	1	in	IN		I n	1	H-L%	4
5000000596	6000000606	sp	1	1	charge	NN	L+H*	tS A r dZ	1	H-L%	4
5000000596	6000000606	sp	1	1	at	IN		{ t	1	H-L%	4
5000000596	6000000606	sp	1	1	my	PRP$		m AI	1	H-L%	4
5000000596	6000000606	sp	1	1	depart	NN	L+H*	d I	0	H-L%	4
5000000596	6000000606	sp	1	1	depart	NN	L+H*	p A r t	1	H-L%	4
5000000596	6000000606	sp	1	1	for	IN		f O r	1	H-L%	4
5000000596	6000000606	sp	1	1	France	NNP	L+H*	f r { n s	1	H-L%	4
5000000596	6000000606	sp	1	1	,	,				H-L%	4
5000000596	6000000606	sp	1	2	As	IN		{ z	1	H-L%	4
5000000596	6000000606	sp	1	2	procurator	NN	L+H*	p r @U	1	H-L%	4
5000000596	6000000606	sp	1	2	procurator	NN	L+H*	k j r=	0	H-L%	4
5000000596	6000000606	sp	1	2	procurator	NN	L+H*	r @	0	H-L%	4
5000000596	6000000606	sp	1	2	procurator	NN	L+H*	t r=	0	H-L%	4
5000000596	6000000606	sp	1	2	to	TO		t u	1	H-L%	4
5000000596	6000000606	sp	1	2	your	PRP$		j O r	1	H-L%	4
5000000596	6000000606	sp	1	2	excellence	NN	L+H*	E k	1	H-L%	4
5000000596	6000000606	sp	1	2	excellence	NN	L+H*	s @	0	H-L%	4
5000000596	6000000606	sp	1	2	excellence	NN	L+H*	l @ n s	0	H-L%	4
5000000596	6000000606	sp	1	2	,	,				H-L%	4
5000000596	6000000606	sp	1	3	To	TO		t u	1	H-L%	4
5000000596	6000000606	sp	1	3	marry	VB	L+H*	m E	1	H-L%	4
5000000596	6000000606	sp	1	3	marry	VB	L+H*	r i	0	H-L%	4
5000000596	6000000606	sp	1	3	Princess	NNP	L+H*	p r I n	1	H-L%	4
5000000596	6000000606	sp	1	3	Princess	NNP	L+H*	s E s	0	H-L%	4
5000000596	6000000606	sp	1	3	Margaret	NNP	L+H*	m A r	1	H-L%	4
5000000596	6000000606	sp	1	3	Margaret	NNP	L+H*	g r=	0	H-L%	4
5000000596	6000000606	sp	1	3	Margaret	NNP	L+H*	I t	0	H-L%	4
5000000596	6000000606	sp	1	3	for	IN		f O r	1	H-L%	4
5000000596	6000000606	sp	1	3	your	PRP$		j O r	1	H-L%	4
5000000596	6000000606	sp	1	3	grace	NN	L+H*	g r EI s	1	H-L%	4
5000000596	6000000606	sp	1	3	,	,				H-L%	4
5000000596	6000000606	sp	1	4	So	RB		s @U	1	H-L%	4
5000000596	6000000606	sp	1	4	,	,				H-L%	4
5000000596	6000000606	sp	1	5	in	IN		I n	1	H-L%	4
5000000596	6000000606	sp	1	5	the	DT		D @	0	H-L%	4
5000000596	6000000606	sp	1	5	famous	JJ	L+H*	f EI	1	H-L%	4
5000000596	6000000606	sp	1	5	famous	JJ	L+H*	m @ s	0	H-L%	4
5000000596	6000000606	sp	1	5	ancient	JJ	L+H*	EI n	1	H-L%	4
5000000596	6000000606	sp	1	5	ancient	JJ	L+H*	tS @ n t	0	H-L%	4
5000000596	6000000606	sp	1	5	city	NN	L+H*	s I	1	H-L%	4
5000000596	6000000606	sp	1	5	city	NN	L+H*	t i	0	H-L%	4
5000000596	6000000606	sp	1	5	,	,				H-L%	4
5000000596	6000000606	sp	1	6	Tours	NNPS	L+H*	t U r z	1	H-L%	4
5000000596	6000000606	sp	1	6	,	,				H-L%	4
5000000596	6000000606	sp	1	7	In	DT		I n	1	H-L%	4
5000000596	6000000606	sp	1	7	In	DT		d i	0	H-L%	4
5000000596	6000000606	sp	1	7	In	DT		{	0	H-L%	4
5000000596	6000000606	sp	1	7	In	DT		n @	0	H-L%	4
5000000596	6000000606	sp	1	7	presence	NN	L+H*	p r E	1	H-L%	4
5000000596	6000000606	sp	1	7	presence	NN	L+H*	z @ n s	0	H-L%	4
5000000596	6000000606	sp	1	7	of	IN		V v	1	H-L%	4
5000000596	6000000606	sp	1	7	the	DT		D @	0	H-L%	4
5000000596	6000000606	sp	1	7	Kings	NNP	L+H*	k I N z	1	H-L%	4
5000000596	6000000606	sp	1	7	of	IN		V v	1	H-L%	4
5000000596	6000000606	sp	1	7	France	NNP	L+H*	f r { n s	1	H-L%	4
