tei_section_id	tei_node_id	tei_node_type	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	phoneme_id	word_id	pos_id
5000000358	6000000368	sp	1	1	so	RB		s @U	1	H-L%	4	1	1	1
5000000358	6000000368	sp	1	1	shaken	VBN	L+H*	S EI	1	H-L%	4	2	2	2
5000000358	6000000368	sp	1	1	shaken	VBN	L+H*	k @ n	0	H-L%	4	3	2	2
5000000358	6000000368	sp	1	1	as	IN		{ z	1	H-L%	4	4	3	3
5000000358	6000000368	sp	1	1	we	PRP		w i	1	H-L%	4	5	4	4
5000000358	6000000368	sp	1	1	are	VBP		A r	1	H-L%	4	6	5	5
5000000358	6000000368	sp	1	1	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	1	2	so	RB		s @U	1	H-L%	4	1	1	1
5000000358	6000000368	sp	1	2	wan	JJ	L+H*	w A n	1	H-L%	4	8	7	7
5000000358	6000000368	sp	1	2	with	IN		w I D	1	H-L%	4	9	8	3
5000000358	6000000368	sp	1	2	care	NN	L+H*	k E r	1	H-L%	4	10	9	8
5000000358	6000000368	sp	1	2	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	1	3	find	VB	L+H*	f AI n d	1	H-L%	4	11	10	9
5000000358	6000000368	sp	1	3	we	PRP		w i	1	H-L%	4	5	4	4
5000000358	6000000368	sp	1	3	a	DT		@	0	H-L%	4	12	11	10
5000000358	6000000368	sp	1	3	time	NN	L+H*	t AI m	1	H-L%	4	13	12	8
5000000358	6000000368	sp	1	3	for	IN		f O r	1	H-L%	4	14	13	3
5000000358	6000000368	sp	1	3	frighted	JJ	L+H*	f r AI	1	H-L%	4	15	14	7
5000000358	6000000368	sp	1	3	frighted	JJ	L+H*	t I d	0	H-L%	4	16	14	7
5000000358	6000000368	sp	1	3	peace	NN	L+H*	p i s	1	H-L%	4	17	15	8
5000000358	6000000368	sp	1	3	to	TO		t u	1	H-L%	4	18	16	11
5000000358	6000000368	sp	1	3	pant	NN	L+H*	p { n t	1	H-L%	4	19	17	8
5000000358	6000000368	sp	1	3	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	1	4	and	CC		{ n d	1	L-L%	5	20	18	12
5000000358	6000000368	sp	1	4	breathe	VB	L+H*	b r i D	1	L-L%	5	21	19	9
5000000358	6000000368	sp	1	4	short	JJ	L+H*	S O r t	1	L-L%	5	22	20	7
5000000358	6000000368	sp	1	4	winded	JJ	L+H*	w I n	1	L-L%	5	23	21	7
5000000358	6000000368	sp	1	4	winded	JJ	L+H*	d I d	0	L-L%	5	24	21	7
5000000358	6000000368	sp	1	4	accents	NNS	L+H*	{ k	0	L-L%	5	25	22	13
5000000358	6000000368	sp	1	4	accents	NNS	L+H*	s E n t s	1	L-L%	5	26	22	13
5000000358	6000000368	sp	1	4	of	IN		V v	1	L-L%	5	27	23	3
5000000358	6000000368	sp	1	4	new	JJ	L+H*	n u	1	L-L%	5	28	24	7
5000000358	6000000368	sp	1	4	broils	NNS	L+H*	b r OI l z	1	L-L%	5	29	25	13
5000000358	6000000368	sp	1	4	to	TO		t u	1	L-L%	5	18	16	11
5000000358	6000000368	sp	1	4	be	VB	L+H*	b i	1	L-L%	5	30	26	9
5000000358	6000000368	sp	1	4	commenced	VBN	L+H*	k @	0	L-L%	5	31	27	2
5000000358	6000000368	sp	1	4	commenced	VBN	L+H*	m E n s t	1	L-L%	5	32	27	2
5000000358	6000000368	sp	1	4	in	IN		I n	1	L-L%	5	33	28	3
5000000358	6000000368	sp	1	4	strands	NNS	L+H*	s	0	L-L%	5	34	29	13
5000000358	6000000368	sp	1	4	strands	NNS	L+H*	t r { n d z	1	L-L%	5	35	29	13
5000000358	6000000368	sp	1	4	afar	RB		@	0	L-L%	5	12	30	1
5000000358	6000000368	sp	1	4	afar	RB		f A r	1	L-L%	5	36	30	1
5000000358	6000000368	sp	1	4	remote	JJ	!H*	r I	0	L-L%	5	37	31	7
5000000358	6000000368	sp	1	4	remote	JJ	!H*	m @U t	1	L-L%	5	38	31	7
5000000358	6000000368	sp	1	4	.	.		.		L-L%	5	39	32	14
5000000358	6000000368	sp	2	1	no	DT		n @U	1	H-L%	4	40	33	10
5000000358	6000000368	sp	2	1	more	RBR		m O r	1	H-L%	4	41	34	15
5000000358	6000000368	sp	2	1	the	DT		D @	0	H-L%	4	42	35	10
5000000358	6000000368	sp	2	1	thirsty	JJ	L+H*	T r= s	1	H-L%	4	43	36	7
5000000358	6000000368	sp	2	1	thirsty	JJ	L+H*	t i	0	H-L%	4	44	36	7
5000000358	6000000368	sp	2	1	entrance	NN	L+H*	E n	1	H-L%	4	45	37	8
5000000358	6000000368	sp	2	1	entrance	NN	L+H*	t r @ n s	0	H-L%	4	46	37	8
5000000358	6000000368	sp	2	1	of	IN		V v	1	H-L%	4	27	23	3
5000000358	6000000368	sp	2	1	this	DT		D I s	1	H-L%	4	47	38	10
5000000358	6000000368	sp	2	1	soil	NN	L+H*	s OI l	1	H-L%	4	48	39	8
5000000358	6000000368	sp	2	1	shall	MD		S { l	1	H-L%	4	49	40	16
5000000358	6000000368	sp	2	1	daub	VB	L+H*	d O b	1	H-L%	4	50	41	9
5000000358	6000000368	sp	2	1	her	PRP$		h r=	0	H-L%	4	51	42	17
5000000358	6000000368	sp	2	1	lips	NNS	L+H*	l I p s	1	H-L%	4	52	43	13
5000000358	6000000368	sp	2	1	with	IN		w I D	1	H-L%	4	9	8	3
5000000358	6000000368	sp	2	1	her	PRP$		h r=	0	H-L%	4	51	42	17
5000000358	6000000368	sp	2	1	own	JJ	L+H*	@U n	1	H-L%	4	53	44	7
5000000358	6000000368	sp	2	1	children	NNS	L+H*	tS I l	1	H-L%	4	54	45	13
5000000358	6000000368	sp	2	1	children	NNS	L+H*	d r @ n	0	H-L%	4	55	45	13
5000000358	6000000368	sp	2	1	's	POS		z	0	H-L%	4	56	46	18
5000000358	6000000368	sp	2	1	blood	NN	L+H*	b l V d	1	H-L%	4	57	47	8
5000000358	6000000368	sp	2	1	;	:		;		H-L%	4	58	48	19
5000000358	6000000368	sp	2	2	no	DT		n @U	1	H-L%	4	40	33	10
5000000358	6000000368	sp	2	2	more	RBR		m O r	1	H-L%	4	41	34	15
5000000358	6000000368	sp	2	2	shall	MD		S { l	1	H-L%	4	49	40	16
5000000358	6000000368	sp	2	2	trenching	VB	L+H*	t r E n	1	H-L%	4	59	49	9
5000000358	6000000368	sp	2	2	trenching	VB	L+H*	tS I N	0	H-L%	4	60	49	9
5000000358	6000000368	sp	2	2	war	NN	L+H*	w O r	1	H-L%	4	61	50	8
5000000358	6000000368	sp	2	2	channel	VB	L+H*	tS {	1	H-L%	4	62	51	9
5000000358	6000000368	sp	2	2	channel	VB	L+H*	n @ l	0	H-L%	4	63	51	9
5000000358	6000000368	sp	2	2	her	PRP$		h r=	0	H-L%	4	51	42	17
5000000358	6000000368	sp	2	2	fields	NNS	L+H*	f i l d z	1	H-L%	4	64	52	13
5000000358	6000000368	sp	2	2	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	3	nor	CC		n O r	1	H-L%	4	65	53	12
5000000358	6000000368	sp	2	3	bruise	VB	L+H*	b r u z	1	H-L%	4	66	54	9
5000000358	6000000368	sp	2	3	her	PRP$		h r=	0	H-L%	4	51	42	17
5000000358	6000000368	sp	2	3	flowers	NNS	L+H*	f l aU	1	H-L%	4	67	55	13
5000000358	6000000368	sp	2	3	flowers	NNS	L+H*	r= z	0	H-L%	4	68	55	13
5000000358	6000000368	sp	2	3	with	IN		w I D	1	H-L%	4	9	8	3
5000000358	6000000368	sp	2	3	the	DT		D @	0	H-L%	4	42	35	10
5000000358	6000000368	sp	2	3	armed	JJ	L+H*	A r m d	1	H-L%	4	69	56	7
5000000358	6000000368	sp	2	3	hoofs	NNS	L+H*	h U f s	1	H-L%	4	70	57	13
5000000358	6000000368	sp	2	3	of	IN		V v	1	H-L%	4	27	23	3
5000000358	6000000368	sp	2	3	hostile	JJ	L+H*	h A s	1	H-L%	4	71	58	7
5000000358	6000000368	sp	2	3	hostile	JJ	L+H*	t @ l	0	H-L%	4	72	58	7
5000000358	6000000368	sp	2	3	paces	NNS	L+H*	p EI	1	H-L%	4	73	59	13
5000000358	6000000368	sp	2	3	paces	NNS	L+H*	s I z	0	H-L%	4	74	59	13
5000000358	6000000368	sp	2	3	:	:		:		H-L%	4	75	60	19
5000000358	6000000368	sp	2	4	those	DT		D @U z	1	H-L%	4	76	61	10
5000000358	6000000368	sp	2	4	opposed	VBN	L+H*	@	0	H-L%	4	12	62	2
5000000358	6000000368	sp	2	4	opposed	VBN	L+H*	p @U z d	1	H-L%	4	77	62	2
5000000358	6000000368	sp	2	4	eyes	NNS	L+H*	AI z	1	H-L%	4	78	63	13
5000000358	6000000368	sp	2	4	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	5	which	WDT		w I tS	1	H-L%	4	79	64	20
5000000358	6000000368	sp	2	5	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	6	like	IN		l AI k	1	H-L%	4	80	65	3
5000000358	6000000368	sp	2	6	the	DT		D @	0	H-L%	4	42	35	10
5000000358	6000000368	sp	2	6	meteors	NNS	L+H*	m i	1	H-L%	4	81	66	13
5000000358	6000000368	sp	2	6	meteors	NNS	L+H*	t i r z	0	H-L%	4	82	66	13
5000000358	6000000368	sp	2	6	of	IN		V v	1	H-L%	4	27	23	3
5000000358	6000000368	sp	2	6	a	DT		@	0	H-L%	4	12	11	10
5000000358	6000000368	sp	2	6	troubled	JJ	L+H*	t r V	1	H-L%	4	83	67	7
5000000358	6000000368	sp	2	6	troubled	JJ	L+H*	b @ l d	0	H-L%	4	84	67	7
5000000358	6000000368	sp	2	6	heaven	NN	L+H*	h E	1	H-L%	4	85	68	8
5000000358	6000000368	sp	2	6	heaven	NN	L+H*	v @ n	0	H-L%	4	86	68	8
5000000358	6000000368	sp	2	6	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	7	all	DT		O l	1	H-L%	4	87	69	10
5000000358	6000000368	sp	2	7	of	IN		V v	1	H-L%	4	27	23	3
5000000358	6000000368	sp	2	7	one	CD		w V n	1	H-L%	4	88	70	21
5000000358	6000000368	sp	2	7	nature	NN	L+H*	n EI	1	H-L%	4	89	71	8
5000000358	6000000368	sp	2	7	nature	NN	L+H*	tS r=	0	H-L%	4	90	71	8
5000000358	6000000368	sp	2	7	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	8	of	IN		V v	1	H-L%	4	27	23	3
5000000358	6000000368	sp	2	8	one	CD		w V n	1	H-L%	4	88	70	21
5000000358	6000000368	sp	2	8	substance	NN	L+H*	s V b	1	H-L%	4	91	72	8
5000000358	6000000368	sp	2	8	substance	NN	L+H*	s t @ n s	0	H-L%	4	92	72	8
5000000358	6000000368	sp	2	8	bred	VBD	L+H*	b r E d	1	H-L%	4	93	73	22
5000000358	6000000368	sp	2	8	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	9	did	VBD	L+H*	d I d	1	H-L%	4	24	74	22
5000000358	6000000368	sp	2	9	lately	RB		l EI	1	H-L%	4	94	75	1
5000000358	6000000368	sp	2	9	lately	RB		t l i	0	H-L%	4	95	75	1
5000000358	6000000368	sp	2	9	meet	VB	L+H*	m i t	1	H-L%	4	96	76	9
5000000358	6000000368	sp	2	9	in	IN		I n	1	H-L%	4	33	28	3
5000000358	6000000368	sp	2	9	the	DT		D @	0	H-L%	4	42	35	10
5000000358	6000000368	sp	2	9	intestine	JJ	L+H*	I n	0	H-L%	4	33	77	7
5000000358	6000000368	sp	2	9	intestine	JJ	L+H*	t E s	1	H-L%	4	97	77	7
5000000358	6000000368	sp	2	9	intestine	JJ	L+H*	t @ n	0	H-L%	4	98	77	7
5000000358	6000000368	sp	2	9	shock	NN	L+H*	S A k	1	H-L%	4	99	78	8
5000000358	6000000368	sp	2	9	and	CC		{ n d	1	H-L%	4	20	18	12
5000000358	6000000368	sp	2	9	furious	JJ	L+H*	f j U	1	H-L%	4	100	79	7
5000000358	6000000368	sp	2	9	furious	JJ	L+H*	r i	0	H-L%	4	101	79	7
5000000358	6000000368	sp	2	9	furious	JJ	L+H*	@ s	0	H-L%	4	102	79	7
5000000358	6000000368	sp	2	9	close	NN	L+H*	k l @U s	1	H-L%	4	103	80	8
5000000358	6000000368	sp	2	9	of	IN		V v	1	H-L%	4	27	23	3
5000000358	6000000368	sp	2	9	civil	JJ	L+H*	s I	1	H-L%	4	104	81	7
5000000358	6000000368	sp	2	9	civil	JJ	L+H*	v @ l	0	H-L%	4	105	81	7
5000000358	6000000368	sp	2	9	butchery	NN	L+H*	b U	1	H-L%	4	106	82	8
5000000358	6000000368	sp	2	9	butchery	NN	L+H*	tS r=	0	H-L%	4	90	82	8
5000000358	6000000368	sp	2	9	butchery	NN	L+H*	i	0	H-L%	4	107	82	8
5000000358	6000000368	sp	2	9	shall	MD		S { l	1	H-L%	4	49	40	16
5000000358	6000000368	sp	2	9	now	RB		n aU	1	H-L%	4	108	83	1
5000000358	6000000368	sp	2	9	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	10	in	IN		I n	1	H-L%	4	33	28	3
5000000358	6000000368	sp	2	10	mutual	JJ	L+H*	m j u	1	H-L%	4	109	84	7
5000000358	6000000368	sp	2	10	mutual	JJ	L+H*	tS @	0	H-L%	4	110	84	7
5000000358	6000000368	sp	2	10	mutual	JJ	L+H*	w @ l	0	H-L%	4	111	84	7
5000000358	6000000368	sp	2	10	well	NN	L+H*	w E l	1	H-L%	4	112	85	8
5000000358	6000000368	sp	2	10	beseeming	IN		b E	1	H-L%	4	113	86	3
5000000358	6000000368	sp	2	10	beseeming	IN		s i	0	H-L%	4	114	86	3
5000000358	6000000368	sp	2	10	beseeming	IN		m I N	0	H-L%	4	115	86	3
5000000358	6000000368	sp	2	10	ranks	NNS	L+H*	r { N k s	1	H-L%	4	116	87	13
5000000358	6000000368	sp	2	10	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	11	march	NNP	L+H*	m A r tS	1	H-L%	4	117	88	23
5000000358	6000000368	sp	2	11	all	DT		O l	1	H-L%	4	87	69	10
5000000358	6000000368	sp	2	11	one	CD		w V n	1	H-L%	4	88	70	21
5000000358	6000000368	sp	2	11	way	NN	L+H*	w EI	1	H-L%	4	118	89	8
5000000358	6000000368	sp	2	11	and	CC		{ n d	1	H-L%	4	20	18	12
5000000358	6000000368	sp	2	11	be	VB	L+H*	b i	1	H-L%	4	30	26	9
5000000358	6000000368	sp	2	11	no	DT		n @U	1	H-L%	4	40	33	10
5000000358	6000000368	sp	2	11	more	JJR	L+H*	m O r	1	H-L%	4	41	34	24
5000000358	6000000368	sp	2	11	opposed	VBN	L+H*	@	0	H-L%	4	12	62	2
5000000358	6000000368	sp	2	11	opposed	VBN	L+H*	p @U z d	1	H-L%	4	77	62	2
5000000358	6000000368	sp	2	11	against	IN		@	0	H-L%	4	12	90	3
5000000358	6000000368	sp	2	11	against	IN		g E n s t	1	H-L%	4	119	90	3
5000000358	6000000368	sp	2	11	acquaintance	NN	L+H*	@	0	H-L%	4	12	91	8
5000000358	6000000368	sp	2	11	acquaintance	NN	L+H*	k w EI n	1	H-L%	4	120	91	8
5000000358	6000000368	sp	2	11	acquaintance	NN	L+H*	t @ n s	0	H-L%	4	121	91	8
5000000358	6000000368	sp	2	11	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	12	kindred	VBD	L+H*	k I n	1	H-L%	4	122	92	22
5000000358	6000000368	sp	2	12	kindred	VBD	L+H*	d r I d	0	H-L%	4	123	92	22
5000000358	6000000368	sp	2	12	and	CC		{ n d	1	H-L%	4	20	18	12
5000000358	6000000368	sp	2	12	allies	NNS	L+H*	{	1	H-L%	4	124	93	13
5000000358	6000000368	sp	2	12	allies	NNS	L+H*	l AI z	0	H-L%	4	125	93	13
5000000358	6000000368	sp	2	12	:	:		:		H-L%	4	75	60	19
5000000358	6000000368	sp	2	13	the	DT		D @	0	H-L%	4	42	35	10
5000000358	6000000368	sp	2	13	edge	NN	L+H*	E dZ	1	H-L%	4	126	94	8
5000000358	6000000368	sp	2	13	of	IN		V v	1	H-L%	4	27	23	3
5000000358	6000000368	sp	2	13	war	NN	L+H*	w O r	1	H-L%	4	61	50	8
5000000358	6000000368	sp	2	13	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	14	like	IN		l AI k	1	H-L%	4	80	65	3
5000000358	6000000368	sp	2	14	an	DT		{ n	1	H-L%	4	127	95	10
5000000358	6000000368	sp	2	14	ill	JJ	L+H*	I l	1	H-L%	4	128	96	7
5000000358	6000000368	sp	2	14	sheathed	JJ	L+H*	S i D d	1	H-L%	4	129	97	7
5000000358	6000000368	sp	2	14	knife	NN	L+H*	n AI f	1	H-L%	4	130	98	8
5000000358	6000000368	sp	2	14	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	2	15	no	RB		n @U	1	L-L%	5	40	33	1
5000000358	6000000368	sp	2	15	more	RBR		m O r	1	L-L%	5	41	34	15
5000000358	6000000368	sp	2	15	shall	MD		S { l	1	L-L%	5	49	40	16
5000000358	6000000368	sp	2	15	cut	VB	L+H*	k V t	1	L-L%	5	131	99	9
5000000358	6000000368	sp	2	15	his	PRP$		h I z	1	L-L%	5	132	100	17
5000000358	6000000368	sp	2	15	master	NN	!H*	m { s	1	L-L%	5	133	101	8
5000000358	6000000368	sp	2	15	master	NN	!H*	t r=	0	L-L%	5	134	101	8
5000000358	6000000368	sp	2	15	.	.		.		L-L%	5	39	32	14
5000000358	6000000368	sp	3	1	therefore	RB		D E r	1	H-L%	4	135	102	1
5000000358	6000000368	sp	3	1	therefore	RB		f O r	0	H-L%	4	14	102	1
5000000358	6000000368	sp	3	1	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	3	2	friends	NNS	L+H*	f r E n d z	1	H-L%	4	136	103	13
5000000358	6000000368	sp	3	2	","	","		","		H-L%	4	7	6	6
5000000358	6000000368	sp	3	3	as	RB		{ z	1	H-L%	4	4	3	1
5000000358	6000000368	sp	3	3	far	RB		f A r	1	H-L%	4	36	104	1
5000000358	6000000368	sp	3	3	as	IN		{ z	1	H-L%	4	4	3	3
