tei_section_id	tei_node_id	tei_node_type	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	1h4	1h6	2h6	3h6	he8
5000000451	6000000464	sp	1	1	I	PRP		AI	1	L-L%	5	0	0	0	0	0
5000000451	6000000464	sp	1	1	wonder	VBP		w V n	1	L-L%	5	0	0	0	0	0
5000000451	6000000464	sp	1	1	wonder	VBP		d r=	0	L-L%	5	0	0	0	0	0
5000000451	6000000464	sp	1	1	how	WRB		h aU	1	L-L%	5	0	0	0	0	0
5000000451	6000000464	sp	1	1	the	DT		D @	0	L-L%	5	0	0	0	0	0
5000000451	6000000464	sp	1	1	king	NN	L+H*	k I N	1	L-L%	5	0	0	0	0	0
5000000451	6000000464	sp	1	1	escaped	VBD	L+H*	I s	0	L-L%	5	0	0	0	0	0
5000000451	6000000464	sp	1	1	escaped	VBD	L+H*	k EI p t	1	L-L%	5	0.444427881	0.458777709	0.460060904	0.467712723	0.400633212
5000000451	6000000464	sp	1	1	our	PRP$		aU	1	L-L%	5	0.439970696	0.454160347	0.454460122	0.459726151	0.40400547
5000000451	6000000464	sp	1	1	our	PRP$		r=	0	L-L%	5	0.453914114	0.465737402	0.466581241	0.469667926	0.424258985
5000000451	6000000464	sp	1	1	hands	NNS	!H*	h { n d z	1	L-L%	5	0.480174801	0.486792682	0.489627476	0.491288271	0.456890219
5000000451	6000000464	sp	1	1	.	.				L-L%	5	0.498838376	0.503030439	0.505963982	0.505176723	0.482192349
5000000451	6000000473	sp	1	1	While	IN		w AI l	1	H-L%	4	0.516538906	0.51861728	0.521318802	0.518177393	0.506926212
5000000451	6000000473	sp	1	1	we	PRP		w i	1	H-L%	4	0.55185222	0.54519313	0.551274432	0.547508992	0.549218442
5000000451	6000000473	sp	1	1	pursued	VBD	L+H*	p r=	0	H-L%	4	0.594685588	0.578142577	0.58811446	0.583238394	0.599704576
5000000451	6000000473	sp	1	1	pursued	VBD	L+H*	s u d	1	H-L%	4	0.6351332	0.611426696	0.623577747	0.616180457	0.647696926
5000000451	6000000473	sp	1	1	the	DT		D @	0	H-L%	4	0.649802451	0.619314848	0.633570622	0.624032406	0.670377576
5000000451	6000000473	sp	1	1	horsemen	NNS	L+H*	h O r	1	H-L%	4	0.706073745	0.664729581	0.682654014	0.671521719	0.733672947
5000000451	6000000473	sp	1	1	horsemen	NNS	L+H*	s m @ n	0	H-L%	4	0.769786577	0.716987055	0.738103869	0.725602408	0.806476703
5000000451	6000000473	sp	1	1	of	IN		V v	1	H-L%	4	0.817004871	0.756553577	0.77850507	0.763835202	0.862753791
5000000451	6000000473	sp	1	1	the	DT		D @	0	H-L%	4	0.784721005	0.730672832	0.748066787	0.732711715	0.830653116
5000000451	6000000473	sp	1	1	north	NN	L+H*	n O r T	1	H-L%	4	0.772360825	0.722679591	0.736998484	0.721386407	0.817551527
5000000451	6000000473	sp	1	1	,	,				H-L%	4	0.78490492	0.731054087	0.746912394	0.732832383	0.830612264
5000000451	6000000473	sp	1	2	He	PRP		h i	1	H-L%	4	0.797583481	0.739498806	0.756694917	0.744419416	0.843658981
5000000451	6000000473	sp	1	2	slily	RB		s l I	1	H-L%	4	0.814252295	0.753742251	0.772120375	0.761222213	0.859356484
5000000451	6000000473	sp	1	2	slily	RB		l i	0	H-L%	4	0.813088559	0.751976103	0.770019435	0.759679699	0.857873782
